"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",19.45995639047,-0.104176129880471,0.607636622985697,-0.171444784497335,0.863874043097995,0.969398777210159
"AT1G01020",146.967539723514,0.4862179114114,0.349928141029853,1.38947930846728,0.16468704860478,0.528318313381344
"AT1G01030",32.7837085844983,-1.34597407087139,0.625826076946856,-2.15071586252499,0.0314986335551218,0.1880029038092
"AT1G01040",141.096618142256,-0.547900247533418,0.384589036442022,-1.42463823878665,0.154261800550015,0.50861132661961
"AT1G01050",357.561313149659,-0.874005999704461,0.3099499689466,-2.8198292862389,0.00480492042206099,0.0452370954761285
"AT1G01060",1319.93920918781,-5.31347117782774,0.363443728118933,-14.6197905390431,2.10045536787068e-48,9.66015787218094e-45
"AT1G01070",45.3947938072915,-0.793734852871407,0.504064386041739,-1.57466957565552,0.11533273395742,0.431852425941728
"AT1G01080",195.017874927984,-0.387130404960981,0.337564003164183,-1.14683556698044,0.251449586526345,0.646551508545256
"AT1G01090",1241.63375828098,-0.353947411251558,0.306068958612236,-1.15643027916457,0.247505202362559,0.642264778117474
"AT1G01100",1808.64046043796,-0.12874196641308,0.280293187980213,-0.459311791844788,0.646010281111608,0.907708120424199
"AT1G01110",27.2040431048044,0.57720349657185,0.524396115434283,1.10070132021065,0.271026671483785,0.667394202814795
"AT1G01120",665.003058486392,-2.1141944347246,0.478375598516363,-4.41952817259404,9.89166264031788e-06,0.000238798724347068
"AT1G01130",1.99981481717583,-0.590138278137888,0.747094587862601,-0.789911060427091,0.429579711534886,NA
"AT1G01140",1040.75905297313,-0.269948364217416,0.493584927877217,-0.546913710226921,0.584438016085762,0.886570855954469
"AT1G01150",0,NA,NA,NA,NA,NA
"AT1G01160",107.093724678892,-0.0285131932692463,0.454451742715053,-0.0627419604530474,0.949971983585979,0.990262860678291
"AT1G01170",498.655132815495,0.435816681778268,0.321497518564226,1.35558334547831,0.175231773811207,0.542983017541941
"AT1G01180",81.955432542928,0.118511796426015,0.475956616485816,0.248997056288526,0.803363058461561,0.95628436793832
"AT1G01190",1.66510390892955,0.390676243767189,0.731604431175541,0.533999285842831,0.593342028166849,NA
"AT1G01200",3.40242252133648,0.154061506559652,0.781756389075308,0.197070991312117,0.843771983830206,NA
"AT1G01210",68.2395357230015,-0.374058889568762,0.417460475005564,-0.896034264234898,0.37023446348069,0.761001595184562
"AT1G01220",49.603209743897,0.373429157717243,0.49286563146809,0.757669299449662,0.448648982380733,0.813823861566698
"AT1G01225",13.7356141811527,0.579240821063407,0.665647663224604,0.870191323525999,0.384195856733364,0.770336570855016
"AT1G01230",152.676251795322,0.607474220526422,0.361090554919694,1.68233206947638,0.0925044658008687,0.382501164816741
"AT1G01240",306.099786935562,1.05763092379413,0.329259079581062,3.21215416485954,0.00131743658610741,0.0157097035535117
"AT1G01250",48.9443418490709,-0.255332043918672,0.576734367133354,-0.442720355278626,0.657968017365104,0.913586598930881
"AT1G01260",108.394600134815,0.518117778237608,0.382520483666101,1.35448374756806,0.175582095060697,0.543340982484717
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",107.796656052485,-0.161592976980113,0.366073006493132,-0.441422814886365,0.658906928365202,0.91411328064387
"AT1G01300",204.215702988097,0.958271599168918,0.385677435181724,2.48464522877103,0.012968060022564,0.0975988062743132
"AT1G01305",0.727951097104631,-0.32088622450963,0.470972099401921,-0.681327460622652,0.495664311164533,NA
"AT1G01310",2.90058710349576,-0.729163753718836,0.77943104012671,-0.935507718040454,0.34952670769522,NA
"AT1G01320",743.078237923563,-1.1590249776435,0.327989091193787,-3.53373026348219,0.000409739006164581,0.00584891943100123
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",6.66632637154228,-1.20949606245693,0.746568055388397,-1.62007475906225,0.105216218726028,NA
"AT1G01350",95.3545671570885,-0.0418344132846706,0.40598288811134,-0.103044769889901,0.917927438813867,0.983283778419515
"AT1G01355",1.37338436933031,-0.430880667423488,0.636369077247979,-0.677092402551772,0.49834732900093,NA
"AT1G01360",259.300765701258,-0.596068522315967,0.486289323067462,-1.22574873442836,0.220293244539372,0.608026872045698
"AT1G01370",13.3355134687743,-0.361408749347274,0.647967314077377,-0.557757685450345,0.577009860956058,0.883280718619713
"AT1G01380",14.1785880270519,-0.859801196908703,0.662280461802509,-1.29824333722394,0.194203730504165,0.574110198232974
"AT1G01390",10.6873335048491,-1.06545297909255,0.704251632504066,-1.51288677216719,0.130308422487903,0.461388340364576
"AT1G01400",0,NA,NA,NA,NA,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",77.9356976566017,-1.00968115986358,0.414319990460891,-2.43695979704095,0.0148113259650373,0.107549254945779
"AT1G01430",288.574772549035,-0.0590209669721409,0.473167104060518,-0.124735989602084,0.900732564316674,0.98023882932284
"AT1G01440",79.4890713577537,-0.105582696036498,0.406322640636604,-0.259849404087048,0.794979940548467,0.953723513072986
"AT1G01450",0,NA,NA,NA,NA,NA
"AT1G01453",0.723108284587137,0.309516232034387,0.467164209901088,0.66254268943231,0.507623485477861,NA
"AT1G01460",0.528909596416705,-0.358587624083754,0.509788206957628,-0.703405098803235,0.481803329889164,NA
"AT1G01470",2458.81945433594,-0.104217241276218,0.678337068696076,-0.153636364700736,0.877896462448048,0.972840547668424
"AT1G01480",2.13771599193993,0.0838512970492039,0.745729719979598,0.112441940830115,0.910473002187322,NA
"AT1G01490",918.6604148247,-0.180190572710908,0.362919106797455,-0.496503406230063,0.61953928474452,0.897473005292609
"AT1G01500",103.133883962186,1.15371724975022,0.402528473015471,2.8661755058154,0.00415463844645603,0.0403173440888686
"AT1G01510",162.517352111226,0.273409460306766,0.352957055422172,0.77462528686313,0.438561110752321,0.805401656497551
"AT1G01520",383.056590189869,-1.66635990397534,0.782194768687664,-2.13036441904501,0.033141538947344,0.194137936480765
"AT1G01530",4.31449470353057,-1.40781359820437,0.782349880144662,-1.79946803077934,0.0719446765590585,NA
"AT1G01540",512.458435542614,-0.343080902363061,0.38489058678839,-0.891372546223596,0.372729340978627,0.762115379678571
"AT1G01550",1564.72563414768,-0.116480731321494,0.332655656031184,-0.350154068357626,0.72622307543872,0.936511387493015
"AT1G01560",50.1117278445104,0.684285034652994,0.734596712968978,0.931511157853345,0.351589215584557,0.746742106986117
"AT1G01570",9.22721745660629,0.114220478466744,0.714353927916819,0.15989340018026,0.872965047525786,0.971839520694205
"AT1G01580",23.399242236994,-1.15741461286275,0.766436141873205,-1.51012530546116,0.1310114535217,0.462897912865477
