"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",23.0120431968735,-0.412687338741902,0.176307398316093,-2.34072615604034,0.0192462780062978,0.158128014069745
"AT1G01020",198.263666604457,-0.00368313944850328,0.130672704195872,-0.0281859893477251,0.977513811666614,0.996295308658118
"AT1G03987",0.829961262368367,0.0119308325392104,0.0579152513243372,0.206005020549687,0.836786989588257,NA
"AT1G01030",99.620352475598,-0.1789719926186,0.158541987912578,-1.12886179222937,0.258956140802712,0.699404157659065
"AT1G01040",724.608657224707,-0.0300739454956903,0.0927683488301805,-0.324183257273911,0.745799296962639,0.953295052635999
"AT1G03993",0,NA,NA,NA,NA,NA
"AT1G01050",1157.42796839335,0.0191322168807033,0.0781478207619705,0.24482086249056,0.806595139470252,0.967027691225585
"AT1G03997",0,NA,NA,NA,NA,NA
"AT1G01060",7776.74942127456,0.164820993611371,0.0641172497650475,2.57061858104246,0.01015170655268,0.101985278407637
"AT1G01070",0.591472377726502,-0.0032004110511284,0.0456192330935424,-0.0701548630720282,0.944070399811788,NA
"AT1G04003",0,NA,NA,NA,NA,NA
"AT1G01080",1858.61851699017,-0.0947764805211466,0.0664258274608477,-1.42680165447708,0.153637074174016,0.553035762961042
"AT1G01090",2577.2352676174,-0.00564281826170856,0.0654769384590371,-0.086180239860157,0.931323138566338,0.989787546532941
"AT1G01100",2400.67538707468,-0.0721748448268762,0.0720140302074147,-1.00223310123039,0.316231024261986,0.757274015640247
"AT1G01110",37.687096148408,0.340984567806876,0.179706288071549,1.89745484961058,0.0577679323929447,0.320398069475684
"AT1G01120",1093.09908575453,0.794136194917922,0.096794056444913,8.2043900636593,2.31764485542114e-16,7.1652607401149e-14
"AT1G01130",16.6280912177526,0.011615963369614,0.172779026453731,0.0672301702818347,0.946398467040764,0.991256149537253
"AT1G01140",631.137881542212,-0.618579808589177,0.106895632865938,-5.78676408010947,7.17552434108392e-09,7.39464788010197e-07
"AT1G01150",0.328994831413107,-0.0219299665007387,0.0370537226018354,-0.591842464423601,0.553956084557819,NA
"AT1G01160",233.205890466043,0.0108913744715597,0.121714169044971,0.0894832093668203,0.928697897032439,0.989787546532941
"AT1G04007",12.2166328223231,-0.0873184921729444,0.160486926920364,-0.544084766582097,0.586383142705684,0.906318637307808
"AT1G01170",706.613509092132,0.0328660021580813,0.0937643125698181,0.350517177136119,0.725950601336218,0.948323154254071
"AT1G04013",3.47586563646897,-0.0811269109879613,0.107154818546708,-0.757099980087209,0.448989966000985,0.843958964702965
"AT1G01180",137.923115647529,-0.0930526740479104,0.139712655618796,-0.666028955185014,0.505392593008199,0.871927667453984
"AT1G01190",48.4062228658964,-0.511543790257196,0.175739468632033,-2.91080765316457,0.00360495866870798,0.0488316421401858
"AT1G01200",12.7856023363684,0.0431994424510836,0.164413508370644,0.262748741749963,0.792744245782383,0.964108984401797
"AT1G01210",97.6615674394271,-0.0626252878015575,0.153805311725441,-0.407172464325227,0.683881323999574,0.937281156796232
"AT1G04017",0,NA,NA,NA,NA,NA
"AT1G01220",521.35460418045,-0.00703262057137166,0.0968570378539657,-0.0726082557054342,0.942117856960582,0.990375532422068
"AT1G04023",0,NA,NA,NA,NA,NA
"AT1G01225",52.9612216574871,0.005371333552843,0.175210983129794,0.0306563747140439,0.975543582729879,0.995875969378768
"AT1G01230",193.884234877368,-0.0620727855818015,0.127789461499154,-0.485742602352326,0.627149674185154,0.919403820633349
"AT1G01240",263.823136576724,-0.0302699531050268,0.117822976156967,-0.256910443890846,0.797247908064347,0.965222992969179
"AT1G01250",17.4717255985913,-0.0470911268067211,0.173551261095151,-0.271338430556854,0.786130751421421,0.961882974507248
"AT1G01260",169.552660076086,-0.0548960508724962,0.131890725962455,-0.416223737278717,0.677246291573217,0.934721480676506
"AT1G01270",0,NA,NA,NA,NA,NA
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",143.690835694507,0.0924723387118107,0.140828059898281,0.656632909511093,0.511416982857245,0.875054264867297
"AT1G01300",609.273114205196,-0.121383110648808,0.098086612313526,-1.2375094601169,0.215898004445662,0.648987319410616
"AT1G01305",0,NA,NA,NA,NA,NA
"AT1G01310",0.362343873128558,-0.0233161442537269,0.0381937424484803,-0.610470269709185,0.541550331792641,NA
"AT1G01320",12308.4576252994,-0.0998911754637151,0.0628641251710986,-1.58900128160281,0.112060103365873,0.471355729935713
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",100.275849943211,-0.969621836063101,0.167799166449754,-5.77846634508431,7.53846189235198e-09,7.72712500281298e-07
"AT1G01350",237.002781553464,-0.252196715233754,0.125254136308115,-2.01348013460705,0.0440641427827929,0.271844701918434
"AT1G01355",0,NA,NA,NA,NA,NA
"AT1G01360",180.107920185343,-0.0811521141687244,0.131140387662281,-0.618818623425999,0.536035852110082,0.885142592457448
