"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",194.962551455971,0.228461318048078,0.497475230650284,0.459241594298957,0.646060684301145,0.914619105914719
"AT1G01020",251.956132342268,-0.270509327513628,0.316587093091247,-0.854454693248223,0.392853102661357,0.801243213588529
"AT1G01030",138.076682473501,-0.595855954170537,0.465122590954132,-1.28107291660081,0.200168055714552,0.61358529338883
"AT1G01040",1177.09321311742,-0.0859911898689673,0.276465504278374,-0.311037682959472,0.755771974586741,0.949937218534451
"AT1G01050",1116.20183610769,0.128226415874532,0.29130912832213,0.440173010070385,0.659811806128123,0.920694756794733
"AT1G01060",300.637106685529,-0.203563464851167,0.457517326355175,-0.444930613825844,0.656369898142562,0.919045189896149
"AT1G01070",87.8843039067056,-1.30010207592817,0.469699503380581,-2.76794432732186,0.00564110911129649,0.0647105100272961
"AT1G01080",1634.7220759256,0.577021928270004,0.291285430835022,1.98095018558212,0.0475968602490083,0.284948669663168
"AT1G01090",2840.16774146049,-0.191812073601494,0.258636004357411,-0.741629434301141,0.458311884797616,0.839367252382102
"AT1G01100",1467.88729408121,0.111232100205652,0.288345803479516,0.385759386345824,0.699674876488163,0.931110465818115
"AT1G01110",31.0360291081297,-0.338138218962698,0.501561109846729,-0.674171526309185,0.500202269895537,0.86107319069507
"AT1G01120",1620.76998726737,-0.376822979611278,0.30086310944748,-1.25247319388307,0.21039749012248,0.624712704575887
"AT1G01130",39.2432891410063,0.531881129139147,0.552433627008988,0.962796439490627,0.335649687891084,0.757670989535413
"AT1G01140",1725.53052447332,0.41353513065276,0.327686351349781,1.26198460494115,0.206954326091802,0.621020711714678
"AT1G01150",0,NA,NA,NA,NA,NA
"AT1G01160",272.164919226716,-0.147273262356864,0.288930665630763,-0.509718350716955,0.610248794877587,0.903639750512905
"AT1G01170",582.695603099209,-0.469463069433408,0.338937556821677,-1.38510194572625,0.166021297052247,0.560615829835001
"AT1G01180",196.112166787796,-0.49246499149424,0.335387368672205,-1.46834686542879,0.142010026792654,0.520731248798143
"AT1G01190",137.77869958227,-1.17301721364923,0.493714371194359,-2.37590250980856,0.017506087403728,0.146125702258078
"AT1G01200",14.2301043268255,0.0686635975007424,0.555749698115305,0.123551299683291,0.901670554154383,0.983893145459048
"AT1G01210",118.429432636265,0.161146551649775,0.332261882478536,0.484998611479863,0.627677330463246,0.907810858531226
"AT1G01220",603.629977813643,0.350129401074243,0.321407081406335,1.08936430256058,0.275993266780768,0.704225033707296
"AT1G01225",36.8453580216305,-0.19951012950714,0.471198837647593,-0.423409638493958,0.671996413820913,0.922680293411497
"AT1G01230",393.239427402071,-0.460977623645699,0.267132591890998,-1.725650997441,0.0844102187699435,0.397565206376557
"AT1G01240",624.118536940265,-1.91552778860976,0.27606113196732,-6.93878118574301,3.95497154302892e-12,4.86615589592935e-10
"AT1G01250",106.09933731829,0.099719205786535,0.408032409619775,0.244390404868717,0.806928472327387,0.9613128383313
"AT1G01260",239.156655514778,0.284616069070711,0.288862148960105,0.985300670563174,0.324476403445804,0.746772609315084
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",202.484342976291,-0.409847657818275,0.302809460411822,-1.35348366349215,0.175901165565329,0.57685895563823
"AT1G01300",566.060868060307,1.37383206150023,0.2975370867662,4.61734729082618,3.88676503622607e-06,0.000152477068129216
"AT1G01305",0,NA,NA,NA,NA,NA
"AT1G01310",2.18209856163095,-0.0550936461926587,0.367739072027801,-0.14981722200162,0.880908821520544,NA
"AT1G01320",7424.48666040949,0.471600291036269,0.306719734816553,1.5375609636541,0.124155998274017,0.490127387276343
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",48.8397909160761,1.42680827624873,0.455266002308756,3.13401015892482,0.0017243488604767,0.0268030863070652
"AT1G01350",229.978407549161,0.0345568523007611,0.292207371306087,0.118261398219701,0.90586054246712,0.984753044100228
"AT1G01355",2.3269155751198,-0.370585474429596,0.4488625630662,-0.825610119717069,0.409025292714991,NA
"AT1G01360",218.217892440716,-0.0206261669107482,0.330343260922339,-0.0624385884342202,0.950213565767079,0.990766042916026
"AT1G01370",31.4321053223898,0.800565420894304,0.522371484702399,1.53255957558708,0.125384408129639,0.492798955660735
"AT1G01380",23.0188975595556,-0.43091287343801,0.515942552879825,-0.835195451572648,0.403607670226156,0.808333305065754
"AT1G01390",309.956415893131,-0.0401447144403802,0.350258581845458,-0.114614506313775,0.908750681110775,0.985104096753018
"AT1G01400",0,NA,NA,NA,NA,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",170.271564373088,-0.570466885204949,0.424596271770713,-1.34355132895045,0.179093517227046,0.581038061342174
"AT1G01430",894.062671472065,-1.15465329797094,0.259255640004206,-4.45372489467231,8.43932216834231e-06,0.000300015528040807
"AT1G01440",366.543519858677,0.33898809990951,0.299969470612436,1.1300753347246,0.258444481955143,0.686817116982615
"AT1G01450",1.50640045376556,-0.162267126823439,0.393169184097493,-0.41271578085632,0.679814861471435,NA
"AT1G01453",0,NA,NA,NA,NA,NA
"AT1G01460",0.251119965412729,-0.0781604539668874,0.237902989497068,-0.328539183690463,0.742504022601623,NA
"AT1G01470",3701.37408513592,-0.0827300501423643,0.288856965876274,-0.286404899017737,0.774568022921465,0.9552364778584
"AT1G01480",29.9170407991497,-0.551631229730561,0.540813104832537,-1.0200034444457,0.307726827172075,0.733250493115754
"AT1G01490",926.203694345866,-0.525586763443964,0.32836542944992,-1.60061540072727,0.109462129073367,0.457553148396681
"AT1G01500",337.003157895198,-0.42673575948464,0.380209767070469,-1.12236927202753,0.26170546388464,0.688243598846101
"AT1G01510",491.694423301591,-0.00598909662232193,0.278560888653066,-0.0215001346789249,0.982846696030367,0.996075254456151
"AT1G01520",43.8830680335314,-0.999445787819141,0.474716401760546,-2.10535339438994,0.0352605574811098,0.235187649598303
"AT1G01530",0.929045540703792,0.246875596754685,0.304330326306417,0.811209319002002,0.417245474879239,NA
"AT1G01540",1563.45464321101,0.291272856475905,0.25387579853748,1.14730454085762,0.251255777967091,0.678079259495861
"AT1G01550",1983.57093860472,-0.244893498633133,0.283277369640004,-0.864500750428282,0.387312868271387,0.797133567427184
"AT1G01560",287.89056248957,2.32634304348015,0.510858543556904,4.55379101087897,5.26877003165774e-06,0.00019729773628429
"AT1G01570",39.9047701605479,-0.15258121437225,0.461506665319444,-0.330615407833031,0.74093500637099,0.946663936714423
"AT1G01580",69.9834934203377,-0.96302339520472,0.487148932182787,-1.97685621702928,0.0480578850448589,0.286442530931106
"AT1G01590",1.26681601300347,0.0399311987252135,0.373860908952833,0.106807632916367,0.914941591926768,NA
"AT1G01600",10.8539201037357,-0.453211001733259,0.553822763433737,-0.818332202387858,0.413167523073905,0.815305039117702
"AT1G01610",993.540647156504,-0.302398351461093,0.244327561413465,-1.23767596955367,0.215836232903898,0.633377649651744
"AT1G01620",4476.6930035452,-0.724627447697476,0.297692274496511,-2.43414932054601,0.0149268359048454,0.13124627817063
"AT1G01630",870.41631087487,-0.243661395956154,0.244819809579515,-0.995268301101328,0.319605790540489,0.742647262883361
"AT1G01640",39.4497160281051,0.16832849807429,0.450545525401049,0.37361040912448,0.708694188523903,0.934833902898489
"AT1G01650",829.54739093879,0.629833202023407,0.312722685495223,2.01403106086152,0.0440062725092145,0.271089125086004
"AT1G01660",22.8013446479865,1.12971215403224,0.544027285054804,2.07657260043205,0.0378410239496699,0.247501457300085
"AT1G01670",47.0354976244236,1.00235730484336,0.485476066720205,2.06468943281821,0.0389523950727255,0.252763692410275
"AT1G01680",49.918443849081,-0.134597971036377,0.426302250378158,-0.315733662951532,0.752204673361378,0.949524776616692
"AT1G01690",55.8761707919866,0.0749236627712334,0.440407923373408,0.170123330655221,0.864913145749499,0.973716700133923
"AT1G01695",5.00655810846862,0.328675354617545,0.5022173644311,0.65444840799135,0.512822955620537,NA
"AT1G01700",52.1782065560991,0.0625565190697533,0.424206854988123,0.147467015995073,0.882763412488322,0.978965126000103
"AT1G01710",708.28557236877,-0.194849043879663,0.250188804357897,-0.778808006136558,0.436092820852516,0.829543898154149
"AT1G01715",24.1688201963883,0.291069423718219,0.494976737575653,0.588046672948405,0.556500965595493,0.88498365892601
"AT1G01720",559.837887497907,0.269035653565588,0.378534496017942,0.710729554098118,0.477251841867761,0.849688824244345
"AT1G01725",157.277821597175,-0.487977800251172,0.434275177663265,-1.12366035488574,0.261157141120033,0.687805467578471
"AT1G01730",234.686563415266,0.0498248883235233,0.325115658432661,0.15325281028826,0.878198912914046,0.977715456199356
"AT1G01740",102.732483794361,-0.134280637649641,0.345715955782492,-0.388413191244562,0.697710283837353,0.930850492851421
"AT1G01750",3.37245129229341,0.0663333231196673,0.467401630973828,0.141919323177076,0.887143731117059,NA
"AT1G01760",52.7097289830617,-0.433735638440182,0.412812240386897,-1.05068502337449,0.293403276737265,0.719105586291256
"AT1G01770",544.104563979572,-0.182163994375607,0.303884582910046,-0.599451254259682,0.548872006855942,0.882854565866416
"AT1G01780",98.110963460551,-0.431698217532652,0.364351593059822,-1.18483965970137,0.236080848537424,0.66192067447279
"AT1G01790",3509.84455220898,0.445299516712271,0.232012687764575,1.91928950525378,0.0549477054508245,0.311721294276115
"AT1G01800",1113.63593851674,0.288355095661286,0.265030563347631,1.08800695293041,0.276592038091149,0.704228156107377
"AT1G01810",7.53796266704989,0.230070109351217,0.557177500502381,0.412920674549444,0.679664733139306,0.925106517155794
"AT1G01820",887.477660464215,-0.203751546962361,0.257220805652601,-0.792127007165763,0.428286624062064,0.823791996013399
"AT1G01830",352.811998033527,-0.0385012618433046,0.290146857995755,-0.132695773820401,0.894433985310965,0.981971236730913
"AT1G01840",1.23865135142923,-0.174575421002383,0.325182310063636,-0.536853991129531,0.591368473782109,NA
"AT1G01860",206.209265464171,-0.281420582039253,0.296521144366826,-0.949074247774748,0.342582850930453,0.762959550943844
"AT1G01880",25.9242703114069,0.263289406520135,0.510664046808109,0.515582422858664,0.606146089318439,0.901847870922313
"AT1G01900",80.0456927075079,0.476308417765028,0.376935522033157,1.26363367187009,0.206361542043795,0.620388735657184
"AT1G01910",802.563352292463,-0.136692200501197,0.257082745126578,-0.53170507586534,0.594930275837988,0.898083083698072
"AT1G01920",199.759623919687,0.435378595044388,0.313253695905715,1.389859403847,0.164571575180145,0.558935688566658
"AT1G01930",220.178793796943,-0.0855338096166141,0.315243979008711,-0.271325751836962,0.786140501965481,0.958721930390912
"AT1G01940",103.801718679544,0.327745006619024,0.34322317470198,0.954903487806742,0.339626505807568,0.76003815188872
"AT1G01950",337.773069989159,0.357923342232452,0.287631287346632,1.24438250627829,0.213358818205106,0.629916798442149
"AT1G01960",1447.62928783994,0.131319262040869,0.279235312611165,0.470281716208764,0.638153758563485,0.911799171736231
"AT1G01970",650.837618076479,-0.0057541792315647,0.263133997197624,-0.0218678669151333,0.982553357129719,0.995956829342209
"AT1G01980",0,NA,NA,NA,NA,NA
"AT1G01990",244.539538490749,-0.0537959949329534,0.306367379689446,-0.175593090189578,0.860613631237197,0.973612126826732
"AT1G02000",193.064568942396,-0.211222410767395,0.317994821999941,-0.66423223321364,0.506541686192932,0.863069002912047
"AT1G02010",274.590339935878,-0.235897052000867,0.322651599753922,-0.731120044595408,0.464705831899934,0.843298874908535
"AT1G02020",292.110049914318,0.204533048269153,0.313107534919365,0.65323579108956,0.513604279606599,0.865497234058985
"AT1G02030",4.59757277235257,-0.0773469318464348,0.523416632143804,-0.147773164046465,0.882521788775325,NA
"AT1G02040",0.803566645719821,-0.0835401756620125,0.2834067953683,-0.2947712511743,0.768168629369584,NA
"AT1G02050",70.5867276556588,0.484046358375805,0.471772541600725,1.02601638648454,0.3048838601679,0.730670302973172
"AT1G02060",79.65662059125,0.161738513963566,0.382145789132177,0.423237723830115,0.672121825955439,0.922785621201627
"AT1G02065",0.716916138832867,0.0759337085229034,0.319480946959723,0.23767836312466,0.812130566555031,NA
"AT1G02067",0,NA,NA,NA,NA,NA
"AT1G02070",0,NA,NA,NA,NA,NA
