"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",232.199750490615,0.0791812925778878,0.209763557705395,0.377478783464834,0.705817828565051,0.82401568934862
"AT1G01020",351.022177702942,0.202908253168662,0.187295569178856,1.08335853356411,0.278649313600877,0.44500648843998
"AT1G01030",168.885362754182,-0.209579394960922,0.239081340726634,-0.876602893073766,0.38070236725609,0.553913194545612
"AT1G01040",1419.89185406666,0.336343409814381,0.108086892286461,3.11178721766721,0.00185958481389673,0.00684539551648455
"AT1G01050",1938.79784696937,-0.255664902916153,0.114923634748839,-2.22465033824329,0.0261047205523467,0.0680090778979161
"AT1G01060",1238.01180084251,-1.78580853785948,0.178496185315685,-10.0047434330383,1.45267748636841e-23,4.64791261315197e-22
"AT1G01070",85.9767045520422,-0.340324375347236,0.343613180435073,-0.990428757465959,0.321964595124402,0.492731114900517
"AT1G01080",2457.7759656337,-0.779967300481223,0.115976998360058,-6.725189576469,1.75363973053134e-11,2.08914851884184e-10
"AT1G01090",6257.01858451206,-0.0807887269715241,0.0797875466478031,-1.01254807756078,0.311276071347279,0.481394168487865
"AT1G01100",6120.73217105868,-0.902370922844676,0.0960844000237072,-9.39144046923362,5.91852116436856e-21,1.57017923708566e-19
"AT1G01110",231.864487421995,1.02989052955861,0.232963493273571,4.42082368823857,9.83253776897472e-06,5.73326681585297e-05
"AT1G01120",3004.36297332569,1.22270915513424,0.126838971584572,9.63985390183475,5.4265152586394e-22,1.5518812521246e-20
"AT1G01130",45.3198792248085,0.117038175224264,0.387398217533541,0.302113355010805,0.762565652025987,0.863588959876353
"AT1G01140",1429.05347956376,0.649217530631912,0.132233604224639,4.90962591875678,9.12502921298328e-07,6.22884974541692e-06
"AT1G01150",4.92799057952544,0.128111182008223,0.476871776182463,0.26864911786938,0.788199710672046,NA
"AT1G01160",648.787061758912,0.148001138215312,0.150633700775493,0.982523415765347,0.325842052945989,0.497198892751851
"AT1G01170",604.297262338246,0.193467413260164,0.183851298580953,1.05230376262465,0.292660205948646,0.461288332614959
"AT1G01180",231.044709029881,0.731959621611007,0.21193264931255,3.45373694890937,0.000552876371778837,0.00232255803309896
"AT1G01190",46.2400806682762,-0.589830306136136,0.396653572647794,-1.48701624492835,0.137010520491766,0.26199090900542
"AT1G01200",73.7517643971071,0.114773906092325,0.3312136353425,0.346525305256952,0.728947970024253,0.839958080596048
"AT1G01210",221.148354940177,-0.533618623677165,0.222717892275399,-2.39593962669746,0.0165778206419166,0.0461925471186564
"AT1G01220",1010.04509413598,-0.389486108021213,0.135468310033788,-2.87510863554783,0.00403888507034929,0.0135331271876885
