,log2FoldChange,baseMean,padj
AT1G01010,0.0430414951325759,0.516229174821623,1
AT1G01020,-0.344331961060605,0.0792109404092776,1
AT1G01030,0.172165980530303,0.0443260628361591,1
AT1G01040,0.215207475662876,0.0903675487834655,1
AT1G01050,-0.387373456193179,0.145976541046113,1
AT1G01060,-0.387373456193179,0.189502091197729,1
AT1G01070,0,0.00155010199670068,1
AT1G01080,0.0430414951325759,0.00509341789648577,1
AT1G01090,-0.129124485397725,0.157148409096928,1
AT1G01100,-0.47345644645833,0.0646680173504056,0
AT1G01110,0.344331961060605,0.0182992762198188,1
AT1G01120,0.0430414951325759,0.503260650155415,1
AT1G01130,3.142029144678,0.027069122686063,1
AT1G01140,-0.215207475662876,0.32769449895258,1
AT1G01160,0.0430414951325759,0.0668360526594283,1
AT1G01170,0,0.00329945519053583,1
AT1G01180,0.602580931856055,0.0198510208609462,1
AT1G01200,3.31419512520831,0.0281402337345765,1
AT1G01210,0.516497941590904,0.0128002314838683,1
AT1G01220,0.387373456193179,0.0248517819929363,1
AT1G01225,-0.0430414951325759,0.00908849553981152,1
AT1G01230,-0.172165980530301,0.183120456864238,1
AT1G01240,-0.0430414951325759,0.125320465187274,1
AT1G01250,0,0.000310822194761505,1
AT1G01260,-0.129124485397725,0.0567567853281493,1
AT1G01290,-0.0430414951325759,0.0105850200472447,1
AT1G01300,0.0860829902651519,0.0104875679512877,1
AT1G01310,0,0,1
AT1G01320,0.301290465928028,0.0132124254904876,1
AT1G01340,-0.0860829902651519,0.185340588259868,1
AT1G01350,0.0430414951325759,0.348130289618087,1
AT1G01355,0,0.00059035274704424,1
AT1G01360,0.0860829902651519,0.352774640625871,1
AT1G01370,0.129124485397728,0.00331933027975963,1
AT1G01380,0.430414951325756,0.0156312557888019,1
AT1G01390,0,0,1
AT1G01420,0,0.00138091192776928,1
AT1G01430,-0.172165980530301,0.0520205232738949,1
AT1G01440,-0.172165980530301,0.0403366577781246,1
AT1G01448,-0.0430414951325759,0.0111698039435245,1
AT1G01450,0,0,1
AT1G01453,0,0.00283415827134222,1
AT1G01470,-0.0430414951325759,0.792393340905589,0
AT1G01480,-0.47345644645833,0.262724995876404,0
AT1G01490,-0.0860829902651519,0.110891587940185,1
AT1G01500,0.301290465928028,0.0512289141145185,1
AT1G01510,3.44331961060605,0.0303143737369593,1
AT1G01520,0,0.00181512798942771,1
AT1G01540,0.0860829902651519,0.156352656229154,1
AT1G01550,-0.0430414951325759,0.959261009067891,1
AT1G01560,2.66857269821968,0.0217126628587826,1
AT1G01570,-0.0860829902651519,0.0816563681098454,1
AT1G01580,-0.258248970795452,0.0230240277211078,1
AT1G01600,0,0.00104390340449201,1
AT1G01610,0,0.0146074608607566,1
AT1G01620,0.0860829902651519,2.56676434200699,1
AT1G01630,-0.215207475662876,0.281041714821856,1
AT1G01640,0,0.00749773124930115,1
AT1G01650,-0.0860829902651519,0.356007426878794,1
AT1G01660,0,0.00820944912829833,1
AT1G01670,0.0430414951325759,0.00214285713203538,1
AT1G01680,-0.0430414951325759,0.0776760196045927,0
AT1G01690,-0.0430414951325759,0.00853477061156474,1
AT1G01695,0,0.00207097274993172,1
AT1G01710,-0.258248970795452,0.178688520178671,1
AT1G01715,-4.13198353272723,0.0309964156724248,1
AT1G01720,0.0430414951325759,1.87572063311637,1
AT1G01725,0.172165980530303,0.00456965186748901,1
AT1G01730,-0.172165980530301,0.0996200515512895,0
AT1G01740,0,0.00309066481998296,1
AT1G01750,-0.0430414951325759,0.0746482115094761,0
AT1G01760,0,0,1
AT1G01770,0,0.00726427092227629,1
AT1G01780,4.04590054246208,0.0512546432654879,1
AT1G01790,-0.47345644645833,0.055751434022719,1
AT1G01800,-0.0860829902651519,0.428757563870554,1
AT1G01810,0.301290465928028,0.0111935975762283,1
AT1G01820,-0.0430414951325759,0.191478484777393,1
AT1G01830,0.0430414951325759,0.0634214357231343,1
AT1G01840,0,0.00164419519901437,1
AT1G01860,0,0.0084311883062904,1
AT1G01880,0,0.000547827904545926,1
AT1G01900,0,0.00297537725975501,1
AT1G01910,-0.344331961060605,0.120326757218516,1
AT1G01920,-0.0430414951325759,0.0043182634143134,1
AT1G01930,-0.47345644645833,0.0384004942778702,1
AT1G01940,-0.0430414951325759,0.0658457406279293,1
AT1G01950,0.0860829902651519,0.143249521667364,1
AT1G01960,-0.559539436723481,0.0494844924146952,1
AT1G01970,0,0.00559234607091673,1
AT1G01980,0,0,1
AT1G01990,0.0430414951325759,0.0688197315523391,1
AT1G02000,0.0430414951325759,0.325227904429628,1
AT1G02010,0.0430414951325759,0.0198516728494726,1
AT1G02020,0.301290465928028,0.0229102945754907,1
AT1G02030,-0.0430414951325759,0.0237044309934564,1
AT1G02040,0,0,1
AT1G02050,0,0.000462588765005754,1
AT1G02060,0,0,1
AT1G02070,0,0,1
AT1G02080,0,0.196170850838786,1
AT1G02090,-0.0860829902651519,0.444780707696718,1
AT1G02100,-0.215207475662876,0.131883944190271,1
AT1G02110,0,0.0651731273700054,1
AT1G02120,-0.0860829902651519,0.361495061954156,1
AT1G02130,0,0.0801965343153233,1
AT1G02140,-0.215207475662876,0.396726864033559,1
AT1G02145,0.0860829902651519,0.017743075832825,1
AT1G02150,0.387373456193179,0.0131900700302995,1
AT1G02160,-1.33428634910984,0.0341304310805927,1
AT1G02170,-0.0860829902651519,0.261050090255919,1
AT1G02180,-0.0430414951325759,0.000873350114897497,1
AT1G02190,-0.0430414951325759,0.00457984104214621,1
AT1G02205,-4.1750250278598,0.029945735881383,1
AT1G02220,-0.129124485397725,0.0277885578691109,1
AT1G02230,-0.387373456193179,0.07285839083914,1
