,TFID,targetID
12726,AT1G06850,AT5G16000
3339,AT1G06850,AT4G37260
1134,AT1G06850,AT4G27260
1890,AT1G06850,AT2G42870
15729,AT1G06850,AT5G06980
8358,AT1G06850,AT3G55740
4935,AT1G06850,AT2G45050
2499,AT1G06850,AT5G67200
13650,AT1G06850,AT5G11740
2604,AT1G06850,AT1G49780
6279,AT1G06850,AT1G72140
2625,AT1G06850,AT5G62280
11508,AT1G06850,AT5G04330
4956,AT1G06850,AT3G28180
6237,AT1G06850,AT3G07000
12411,AT1G06850,AT5G42100
12033,AT1G06850,AT4G13340
4746,AT1G06850,AT3G48260
6636,AT1G06850,AT1G22690
6888,AT1G06850,AT5G58530
8022,AT1G06850,AT3G14870
3444,AT1G06850,AT2G47440
6846,AT1G06850,AT3G11700
10227,AT1G06850,AT2G42840
16569,AT1G06850,AT1G15690
12096,AT1G06850,AT4G24510
13713,AT1G06850,AT4G12420
10920,AT1G06850,AT5G03170
3402,AT1G06850,AT1G65920
3381,AT1G06850,AT1G78100
4704,AT1G06850,AT2G34650
10290,AT1G06850,AT2G23290
12516,AT1G06850,AT1G01540
8043,AT1G06850,AT1G22882
10962,AT1G06850,AT4G31000
14805,AT1G06850,AT3G27170
567,AT1G06850,AT3G50340
14637,AT1G06850,AT1G57680
1785,AT1G06850,AT1G35140
8925,AT1G06850,AT2G40540
8778,AT1G06850,AT3G07350
2898,AT1G06850,AT1G04240
861,AT1G06850,AT1G18400
5754,AT1G06850,AT4G08040
2961,AT1G06850,AT5G02760
12537,AT1G06850,AT3G12590
5523,AT1G06850,AT2G44500
8883,AT1G06850,AT1G70090
777,AT1G06850,AT1G29430
5586,AT1G06850,AT2G23130
11949,AT1G06850,AT5G56980
5460,AT1G06850,AT1G03870
1029,AT1G06850,AT4G27280
3066,AT1G06850,AT3G45970
5859,AT1G06850,AT3G19680
9156,AT1G06850,AT5G47640
11361,AT1G06850,AT4G04840
5124,AT1G06850,AT1G72490
13041,AT1G06850,AT2G46330
11382,AT1G06850,AT4G38810
9072,AT1G06850,AT1G13250
2856,AT1G06850,AT3G55840
5166,AT1G06850,AT4G03210
5229,AT1G06850,AT3G44310
13587,AT1G06850,AT1G66150
3171,AT1G06850,AT3G58120
5943,AT1G06850,AT3G13520
1680,AT1G06850,AT5G57560
8988,AT1G06850,AT4G35470
10689,AT1G06850,AT3G27960
12621,AT1G06850,AT3G02570
11424,AT1G06850,AT3G08600
1932,AT1G06850,AT3G63430
9828,AT1G06850,AT4G18700
4095,AT1G06850,AT1G02640
11739,AT1G06850,AT2G34770
11151,AT1G06850,AT1G71360
