,TFID,targetID
12913,AT1G01250,AT2G43010
19536,AT1G01250,AT1G78240
44844,AT1G01250,AT1G72160
12506,AT1G01250,AT1G61660
1295,AT1G01250,AT3G01120
1998,AT1G01250,AT1G19000
31006,AT1G01250,AT3G47620
28749,AT1G01250,AT4G20840
31117,AT1G01250,AT4G33660
30747,AT1G01250,AT1G35580
48359,AT1G01250,AT1G24170
58867,AT1G01250,AT5G67180
67673,AT1G01250,AT4G32890
69153,AT1G01250,AT1G72520
31968,AT1G01250,AT3G57400
22829,AT1G01250,AT2G42320
53132,AT1G01250,AT4G19410
7807,AT1G01250,AT1G04250
14837,AT1G01250,AT5G02250
83916,AT1G01250,AT5G03380
65601,AT1G01250,AT1G19960
19832,AT1G01250,AT4G00430
31894,AT1G01250,AT5G09870
61975,AT1G01250,AT4G02420
76590,AT1G01250,AT4G00330
40848,AT1G01250,AT1G24020
38369,AT1G01250,AT4G14540
76331,AT1G01250,AT4G04955
21238,AT1G01250,AT1G63830
38702,AT1G01250,AT1G76160
51245,AT1G01250,AT2G23690
46177,AT1G18330,AT5G46910
47324,AT1G18330,AT3G12930
45992,AT1G18330,AT5G50860
6957,AT1G18330,AT3G28040
47472,AT1G18330,AT3G53460
45955,AT1G18330,AT2G17240
47509,AT1G18330,AT5G63800
6883,AT1G18330,AT1G01550
47361,AT1G18330,AT2G28150
47250,AT1G18330,AT1G51500
80217,AT1G18330,AT2G30930
80032,AT1G18330,AT3G51960
47176,AT1G18330,AT1G76890
47065,AT1G18330,AT4G25830
46732,AT1G18330,AT3G28940
46066,AT1G18330,AT1G78230
6994,AT1G18330,AT2G05540
46658,AT1G18330,AT5G01520
7068,AT1G18330,AT5G56850
47546,AT1G18330,AT2G30550
46103,AT1G18330,AT2G43340
7142,AT1G18330,AT1G05805
46325,AT1G18330,AT5G35790
46214,AT1G18330,AT1G49780
80254,AT1G18330,AT5G07690
46362,AT1G18330,AT1G60940
80106,AT1G18330,AT4G19820
47694,AT1G18330,AT2G22330
85138,AT1G18330,AT1G70560
79736,AT1G18330,AT1G10470
49285,AT1G18330,AT2G24580
49433,AT1G18330,AT2G27770
49470,AT1G18330,AT2G28930
49544,AT1G18330,AT3G53260
49618,AT1G18330,AT1G11310
49692,AT1G18330,AT4G38620
49766,AT1G18330,AT5G17650
79699,AT1G18330,AT3G18830
49840,AT1G18330,AT1G78010
6106,AT1G18330,AT4G34920
50025,AT1G18330,AT1G09750
85212,AT1G18330,AT1G70890
50062,AT1G18330,AT1G60590
50136,AT1G18330,AT2G40460
50247,AT1G18330,AT5G26920
49248,AT1G18330,AT5G05250
47583,AT1G18330,AT3G55450
49174,AT1G18330,AT1G78580
49100,AT1G18330,AT4G23870
47768,AT1G18330,AT1G69900
47805,AT1G18330,AT4G19450
47879,AT1G18330,AT3G47960
47953,AT1G18330,AT1G75380
48027,AT1G18330,AT2G29970
79958,AT1G18330,AT3G18485
48175,AT1G18330,AT5G46450
6698,AT1G18330,AT3G47350
6624,AT1G18330,AT3G51630
6550,AT1G18330,AT2G25660
48508,AT1G18330,AT5G11610
48656,AT1G18330,AT5G60710
6513,AT1G18330,AT4G18700
48804,AT1G18330,AT1G58110
48841,AT1G18330,AT5G22640
48878,AT1G18330,AT1G32780
79773,AT1G18330,AT3G28910
49137,AT1G18330,AT2G44740
45918,AT1G18330,AT5G26820
45548,AT1G18330,AT5G10030
7179,AT1G18330,AT5G13630
41478,AT1G18330,AT2G28810
80920,AT1G18330,AT4G01950
41700,AT1G18330,AT5G40390
41737,AT1G18330,AT5G35220
41811,AT1G18330,AT5G24210
41959,AT1G18330,AT1G19220
41996,AT1G18330,AT2G19110
41441,AT1G18330,AT5G38850
42033,AT1G18330,AT3G56040
7808,AT1G18330,AT1G04250
42144,AT1G18330,AT3G08680
42181,AT1G18330,AT3G26570
42218,AT1G18330,AT2G43550
42366,AT1G18330,AT5G03700
42403,AT1G18330,AT3G13310
42440,AT1G18330,AT3G18290
42107,AT1G18330,AT3G13750
41404,AT1G18330,AT2G30070
41367,AT1G18330,AT3G62410
41219,AT1G18330,AT3G25600
81068,AT1G18330,AT5G60270
40294,AT1G18330,AT5G20885
40331,AT1G18330,AT1G08800
40553,AT1G18330,AT3G14930
76295,AT1G18330,AT4G30850
40664,AT1G18330,AT5G27380
81031,AT1G18330,AT4G16563
40775,AT1G18330,AT3G48320
8104,AT1G18330,AT3G50950
40849,AT1G18330,AT1G24020
8067,AT1G18330,AT1G22630
8030,AT1G18330,AT3G18680
84916,AT1G18330,AT3G15950
80994,AT1G18330,AT3G50120
40886,AT1G18330,AT1G77920
41034,AT1G18330,AT2G23810
41182,AT1G18330,AT5G41790
42477,AT1G18330,AT1G19300
42625,AT1G18330,AT2G45850
42699,AT1G18330,AT2G18890
42773,AT1G18330,AT5G66320
44771,AT1G18330,AT2G38310
80476,AT1G18330,AT5G40450
44882,AT1G18330,AT3G07340
80439,AT1G18330,AT5G03995
45178,AT1G18330,AT3G11410
7364,AT1G18330,AT1G19835
45215,AT1G18330,AT5G57630
80365,AT1G18330,AT5G07570
45289,AT1G18330,AT4G10360
50358,AT1G18330,AT1G72150
7290,AT1G18330,AT1G32900
45622,AT1G18330,AT4G29110
7253,AT1G18330,AT2G39470
45659,AT1G18330,AT1G24150
45696,AT1G18330,AT3G23805
45844,AT1G18330,AT2G04270
45881,AT1G18330,AT3G27390
44623,AT1G18330,AT4G19160
85064,AT1G18330,AT1G21100
44586,AT1G18330,AT3G45640
44327,AT1G18330,AT1G76360
42847,AT1G18330,AT5G49660
42921,AT1G18330,AT1G22410
42995,AT1G18330,AT4G28710
43032,AT1G18330,AT5G66770
7660,AT1G18330,AT4G25170
43328,AT1G18330,AT2G37710
43365,AT1G18330,AT1G60800
43402,AT1G18330,AT5G35735
80624,AT1G18330,AT1G80050
43476,AT1G18330,AT3G14770
43550,AT1G18330,AT5G65700
7623,AT1G18330,AT1G50450
43735,AT1G18330,AT5G41810
43772,AT1G18330,AT4G31820
43957,AT1G18330,AT5G61420
85027,AT1G18330,AT1G62975
80513,AT1G18330,AT1G28600
44475,AT1G18330,AT4G19530
50395,AT1G18330,AT5G61590
5921,AT1G18330,AT3G29200
50469,AT1G18330,AT4G31130
57536,AT1G18330,AT4G02590
57573,AT1G18330,AT4G24240
57610,AT1G18330,AT1G58290
57647,AT1G18330,AT4G23020
57795,AT1G18330,AT4G10120
58054,AT1G18330,AT1G51680
58091,AT1G18330,AT1G74360
58165,AT1G18330,AT4G18210
58239,AT1G18330,AT5G45840
58350,AT1G18330,AT4G37150
58461,AT1G18330,AT4G18270
58572,AT1G18330,AT3G18930
58609,AT1G18330,AT5G46790
4367,AT1G18330,AT3G61260
58646,AT1G18330,AT1G49490
4330,AT1G18330,AT1G51060
58720,AT1G18330,AT3G54990
57462,AT1G18330,AT1G02860
58757,AT1G18330,AT2G37380
57351,AT1G18330,AT1G28230
57277,AT1G18330,AT4G34950
56537,AT1G18330,AT1G28110
56574,AT1G18330,AT2G23950
56611,AT1G18330,AT1G70700
56648,AT1G18330,AT2G03090
78922,AT1G18330,AT4G19420
56722,AT1G18330,AT5G28770
56759,AT1G18330,AT4G14550
4737,AT1G18330,AT2G48020
56796,AT1G18330,AT2G21210
56833,AT1G18330,AT3G47800
56870,AT1G18330,AT2G41730
56944,AT1G18330,AT4G21750
56981,AT1G18330,AT4G18880
57018,AT1G18330,AT5G23210
4700,AT1G18330,AT4G01690
57055,AT1G18330,AT2G28510
57240,AT1G18330,AT4G00950
57314,AT1G18330,AT5G19260
56500,AT1G18330,AT2G01670
58831,AT1G18330,AT1G20190
4293,AT1G18330,AT3G62980
60903,AT1G18330,AT2G19780
60940,AT1G18330,AT2G32530
61088,AT1G18330,AT1G17420
