,TFID,targetID
35206,AT1G01720,AT2G20060
14906,AT1G01720,AT4G02150
67686,AT1G01720,AT5G53880
62176,AT1G01720,AT3G26540
48778,AT1G01720,AT1G76090
14268,AT1G01720,AT3G47800
68034,AT1G01720,AT4G30150
13920,AT1G01720,AT5G64050
13862,AT1G01720,AT5G55220
19720,AT1G01720,AT3G46560
77488,AT1G01720,AT4G30270
68498,AT1G01720,AT4G23540
61712,AT1G01720,AT5G22440
15080,AT1G01720,AT5G60790
986,AT1G01720,AT1G09750
68556,AT1G01720,AT1G31660
37584,AT1G01720,AT1G23480
21170,AT1G01720,AT5G53540
60494,AT1G01720,AT4G30610
37758,AT1G01720,AT3G16840
68730,AT1G01720,AT5G62730
2088,AT1G01720,AT4G13250
60030,AT1G01720,AT3G51600
12644,AT1G01720,AT5G14120
32712,AT1G01720,AT1G30820
42978,AT1G01720,AT3G48740
12412,AT1G01720,AT4G16720
49184,AT1G01720,AT4G13850
22968,AT1G01720,AT3G10520
62292,AT1G01720,AT4G31700
15486,AT1G01720,AT4G21100
46748,AT1G01720,AT4G08390
17226,AT1G01720,AT3G27770
77546,AT1G01720,AT4G11460
64554,AT1G01720,AT5G37600
63974,AT1G01720,AT3G17830
1508,AT1G01720,AT4G37510
16936,AT1G01720,AT5G11070
5510,AT1G01720,AT5G02500
16588,AT1G01720,AT4G24190
34916,AT1G01720,AT3G46210
47328,AT1G01720,AT5G67300
16530,AT1G01720,AT3G14840
6032,AT1G01720,AT3G50240
62988,AT1G01720,AT1G08930
34452,AT1G01720,AT5G56030
62814,AT1G01720,AT4G26190
65946,AT1G01720,AT1G08580
45530,AT1G01720,AT1G69760
5046,AT1G01720,AT5G57800
33814,AT1G01720,AT3G22760
18792,AT1G01720,AT2G31170
77662,AT1G01720,AT3G22750
62350,AT1G01720,AT2G21440
19604,AT1G01720,AT3G55400
33698,AT1G01720,AT5G57990
36598,AT1G01720,AT3G11710
65598,AT1G01720,AT1G18800
2900,AT1G01720,AT4G19210
12238,AT1G01720,AT1G15500
32538,AT1G01720,AT3G12930
2610,AT1G01720,AT3G49680
41992,AT1G01720,AT1G08360
39382,AT1G01720,AT2G23910
26854,AT1G01720,AT2G33450
3480,AT1G01720,AT5G53460
54462,AT1G01720,AT1G08610
73370,AT1G01720,AT3G51870
41702,AT1G01720,AT1G01120
30798,AT1G01720,AT3G46040
73312,AT1G01720,AT2G40205
54172,AT1G01720,AT5G56670
39962,AT1G01720,AT4G27090
76618,AT1G01720,AT5G61440
30682,AT1G01720,AT1G53800
72268,AT1G01720,AT4G10450
28826,AT1G01720,AT4G24120
40252,AT1G01720,AT3G53740
53650,AT1G01720,AT1G09900
41412,AT1G01720,AT5G60040
40368,AT1G01720,AT1G30680
8004,AT1G01720,AT2G31810
7250,AT1G01720,AT4G35630
41180,AT1G01720,AT3G11510
40600,AT1G01720,AT5G17710
72964,AT1G01720,AT1G62480
29870,AT1G01720,AT5G27395
28420,AT1G01720,AT4G35850
12122,AT1G01720,AT5G26710
42108,AT1G01720,AT2G46450
3770,AT1G01720,AT2G04520
49996,AT1G01720,AT4G30620
23432,AT1G01720,AT2G01850
69600,AT1G01720,AT2G23290
11542,AT1G01720,AT5G35680
32364,AT1G01720,AT1G63680
69310,AT1G01720,AT5G41790
58058,AT1G01720,AT5G46580
71630,AT1G01720,AT4G04570
70006,AT1G01720,AT2G05380
70122,AT1G01720,AT1G77760
38628,AT1G01720,AT3G61260
31842,AT1G01720,AT1G23090
10382,AT1G01720,AT4G12420
42456,AT1G01720,AT4G02230
57188,AT1G01720,AT1G25560
9976,AT1G01720,AT3G01370
12006,AT1G01720,AT1G30610
51504,AT1G01720,AT1G21130
42166,AT1G01720,AT1G25550
57014,AT1G01720,AT4G02930
71340,AT1G01720,AT4G39070
26622,AT1G01720,AT3G27960
51214,AT1G01720,AT1G13030
11890,AT1G01720,AT1G18500
20823,AT1G13260,AT5G58090
29871,AT1G13260,AT5G27395
24187,AT1G13260,AT4G39040
25695,AT1G13260,AT3G49560
23375,AT1G13260,AT2G45710
35207,AT1G13260,AT2G20060
25869,AT1G13260,AT4G19530
29813,AT1G13260,AT2G37470
