,TFID,targetID
9975,AT1G13260,AT3G53470
11875,AT1G13260,AT3G15020
425,AT1G13260,AT5G24150
8975,AT1G13260,AT1G80440
8775,AT1G13260,AT1G11840
12000,AT1G13260,AT4G12910
12050,AT1G13260,AT1G20620
4150,AT1G13260,AT3G52720
8425,AT1G13260,AT2G27385
2350,AT1G13260,AT1G63710
875,AT1G13260,AT3G29575
8025,AT1G13260,AT2G31190
7950,AT1G13260,AT2G33620
12875,AT1G13260,AT3G28180
15075,AT1G13260,AT1G77740
6875,AT1G13260,AT3G52180
9125,AT1G13260,AT2G01890
6850,AT1G13260,AT3G15115
2775,AT1G13260,AT1G29910
775,AT1G13260,AT2G38995
10225,AT1G13260,AT1G68600
10600,AT1G13260,AT2G28210
3175,AT1G13260,AT1G29660
10675,AT1G13260,AT1G68570
14650,AT1G13260,AT4G00490
3475,AT1G13260,AT5G65890
3125,AT1G13260,AT5G20270
3500,AT1G13260,AT4G30650
9900,AT1G13260,AT3G27250
9850,AT1G13260,AT4G22990
3600,AT1G13260,AT4G26790
525,AT1G13260,AT1G51140
9650,AT1G13260,AT4G35300
11125,AT1G13260,AT4G23250
9375,AT1G13260,AT1G55020
11550,AT1G13260,AT3G14810
13400,AT1G13260,AT1G72770
10450,AT1G13260,AT2G45340
17000,AT1G13260,AT3G19820
4950,AT1G13260,AT5G57560
5975,AT1G13260,AT5G54380
125,AT1G13260,AT5G62430
13600,AT1G13260,AT3G49220
5850,AT1G13260,AT5G24380
6425,AT1G13260,AT3G25110
5475,AT1G13260,AT5G04530
5925,AT1G13260,AT4G18270
13825,AT1G13260,AT3G14720
1301,AT1G19850,AT4G34250
2976,AT1G19850,AT3G19710
3001,AT1G19850,AT1G44350
10976,AT1G19850,AT1G10120
10876,AT1G19850,AT1G19835
11126,AT1G19850,AT4G23250
11151,AT1G19850,AT1G78680
13501,AT1G19850,AT3G08940
14276,AT1G19850,AT5G43810
11501,AT1G19850,AT1G33110
14251,AT1G19850,AT2G05790
11551,AT1G19850,AT3G14810
2851,AT1G19850,AT1G48100
11601,AT1G19850,AT5G03760
1326,AT1G19850,AT5G60910
14201,AT1G19850,AT2G34560
11751,AT1G19850,AT4G22200
2726,AT1G19850,AT2G44230
14126,AT1G19850,AT1G03130
11251,AT1G19850,AT5G25590
3076,AT1G19850,AT1G69260
14326,AT1G19850,AT2G34770
10851,AT1G19850,AT3G44735
3251,AT1G19850,AT5G62220
10501,AT1G19850,AT4G28750
14601,AT1G19850,AT1G30690
10526,AT1G19850,AT5G10550
3201,AT1G19850,AT4G13770
14576,AT1G19850,AT1G51950
10601,AT1G19850,AT2G28210
3176,AT1G19850,AT1G29660
