,TFID,targetID
9944,AT1G18330,AT1G77760
10406,AT1G18330,AT3G05640
10494,AT1G18330,AT3G51840
10516,AT1G18330,AT1G78600
10560,AT1G18330,AT2G29320
10670,AT1G18330,AT5G62430
10736,AT1G18330,AT2G36320
10758,AT1G18330,AT3G53260
2046,AT1G18330,AT5G49015
10802,AT1G18330,AT5G04770
10934,AT1G18330,AT5G61270
10956,AT1G18330,AT2G24240
2024,AT1G18330,AT1G42470
10978,AT1G18330,AT5G07100
11000,AT1G18330,AT1G53160
11022,AT1G18330,AT1G22770
11044,AT1G18330,AT2G48020
11088,AT1G18330,AT3G23080
1914,AT1G18330,AT1G75540
11814,AT1G18330,AT1G70290
11748,AT1G18330,AT3G05936
11660,AT1G18330,AT2G26710
11616,AT1G18330,AT3G59220
11550,AT1G18330,AT1G02860
10318,AT1G18330,AT1G09230
1936,AT1G18330,AT2G25605
11374,AT1G18330,AT3G50970
11330,AT1G18330,AT5G18060
11242,AT1G18330,AT1G70420
11176,AT1G18330,AT2G22980
2002,AT1G18330,AT4G04340
11154,AT1G18330,AT5G28910
11396,AT1G18330,AT1G69490
10296,AT1G18330,AT5G01880
10274,AT1G18330,AT5G13630
10252,AT1G18330,AT5G60680
9746,AT1G18330,AT5G57887
2398,AT1G18330,AT5G50950
9570,AT1G18330,AT1G70700
9526,AT1G18330,AT4G35110
9482,AT1G18330,AT3G48460
9460,AT1G18330,AT1G33340
9768,AT1G18330,AT2G32150
9416,AT1G18330,AT4G18340
9372,AT1G18330,AT4G03420
9350,AT1G18330,AT1G26920
2442,AT1G18330,AT4G14740
9328,AT1G18330,AT4G37180
9284,AT1G18330,AT1G48745
9262,AT1G18330,AT2G46810
9394,AT1G18330,AT2G41870
11880,AT1G18330,AT4G23990
2376,AT1G18330,AT3G47160
9856,AT1G18330,AT1G04570
2200,AT1G18330,AT1G31340
10230,AT1G18330,AT1G07610
10208,AT1G18330,AT5G61670
10164,AT1G18330,AT3G32980
10142,AT1G18330,AT1G21500
2244,AT1G18330,AT5G56210
9790,AT1G18330,AT1G75380
10076,AT1G18330,AT1G03850
10010,AT1G18330,AT4G25480
9988,AT1G18330,AT4G27710
9966,AT1G18330,AT1G22570
