,TFID,targetID
160020,AT1G01060,AT3G15115
117117,AT1G01060,AT5G12900
116865,AT1G01060,AT3G05500
183267,AT1G01060,AT1G77760
18900,AT1G01060,AT5G05410
183519,AT1G01060,AT2G39020
115983,AT1G01060,AT1G45130
235053,AT1G01060,AT2G38730
19215,AT1G01060,AT2G45360
115416,AT1G01060,AT1G32200
115227,AT1G01060,AT5G11590
184023,AT1G01060,AT4G25100
234801,AT1G01060,AT1G55690
18459,AT1G01060,AT1G04570
115101,AT1G01060,AT4G16690
184716,AT1G01060,AT1G19400
114345,AT1G01060,AT2G04780
184842,AT1G01060,AT2G16460
114156,AT1G01060,AT1G09200
20160,AT1G01060,AT1G24580
113778,AT1G01060,AT1G59980
234486,AT1G01060,AT5G53490
113211,AT1G01060,AT5G17600
113022,AT1G01060,AT4G13260
20664,AT1G01060,AT4G29930
185598,AT1G01060,AT2G42380
185661,AT1G01060,AT2G28320
184275,AT1G01060,AT1G71810
233982,AT1G01060,AT5G24210
117432,AT1G01060,AT5G03940
182511,AT1G01060,AT4G26700
15246,AT1G01060,AT2G10940
125496,AT1G01060,AT2G02230
179676,AT1G01060,AT2G41670
236880,AT1G01060,AT3G49910
124236,AT1G01060,AT3G18410
124110,AT1G01060,AT1G09780
123669,AT1G01060,AT5G45040
16065,AT1G01060,AT3G21870
123039,AT1G01060,AT1G67630
122976,AT1G01060,AT5G49160
180684,AT1G01060,AT5G62030
122787,AT1G01060,AT5G52520
235431,AT1G01060,AT2G16500
180810,AT1G01060,AT1G30320
121968,AT1G01060,AT2G41840
16821,AT1G01060,AT2G40100
181251,AT1G01060,AT2G05220
181377,AT1G01060,AT1G79150
120708,AT1G01060,AT5G60390
17262,AT1G01060,AT5G24120
181881,AT1G01060,AT5G03370
119070,AT1G01060,AT2G38750
118944,AT1G01060,AT5G66070
235494,AT1G01060,AT1G26630
118881,AT1G01060,AT4G37320
182385,AT1G01060,AT1G67950
180936,AT1G01060,AT5G61670
179109,AT1G01060,AT3G47470
112077,AT1G01060,AT1G05190
186165,AT1G01060,AT5G52060
188811,AT1G01060,AT5G27770
23310,AT1G01060,AT3G07770
105903,AT1G01060,AT4G36910
105525,AT1G01060,AT2G01250
105462,AT1G01060,AT3G23210
105399,AT1G01060,AT1G01790
232911,AT1G01060,AT3G57030
189693,AT1G01060,AT2G18990
189756,AT1G01060,AT4G11570
104769,AT1G01060,AT4G19710
104391,AT1G01060,AT1G04480
104139,AT1G01060,AT2G23350
106029,AT1G01060,AT3G60440
23940,AT1G01060,AT5G59480
103446,AT1G01060,AT3G62160
24192,AT1G01060,AT1G58290
190764,AT1G01060,AT2G28760
103257,AT1G01060,AT4G13550
103068,AT1G01060,AT2G28950
102501,AT1G01060,AT2G06850
232092,AT1G01060,AT3G06510
24507,AT1G01060,AT5G17310
101997,AT1G01060,AT5G36925
24696,AT1G01060,AT5G38410
101808,AT1G01060,AT2G18020
101745,AT1G01060,AT3G13120
190575,AT1G01060,AT1G21640
111636,AT1G01060,AT1G69700
23247,AT1G01060,AT3G49160
23184,AT1G01060,AT1G19640
111510,AT1G01060,AT5G13170
21231,AT1G01060,AT4G29330
233793,AT1G01060,AT1G72130
111069,AT1G01060,AT1G12800
21546,AT1G01060,AT5G11680
110817,AT1G01060,AT4G01690
186732,AT1G01060,AT4G12800
110628,AT1G01060,AT5G03210
21672,AT1G01060,AT3G44110
186795,AT1G01060,AT1G31340
110313,AT1G01060,AT3G06145
21924,AT1G01060,AT1G05100
106155,AT1G01060,AT2G26800
109179,AT1G01060,AT3G28270
187488,AT1G01060,AT2G34640
108738,AT1G01060,AT4G14440
233415,AT1G01060,AT5G49810
22491,AT1G01060,AT5G13880
108549,AT1G01060,AT5G08690
22554,AT1G01060,AT5G03890
22743,AT1G01060,AT1G48100
188055,AT1G01060,AT5G54670
233226,AT1G01060,AT3G51720
106911,AT1G01060,AT1G32060
106848,AT1G01060,AT1G62250
22995,AT1G01060,AT5G48490
109116,AT1G01060,AT3G53190
231903,AT1G01060,AT3G11940
237132,AT1G01060,AT5G43150
126504,AT1G01060,AT1G21060
240597,AT1G01060,AT1G74160
143514,AT1G01060,AT4G23060
7497,AT1G01060,AT4G28140
169281,AT1G01060,AT3G11020
240471,AT1G01060,AT2G18960
142821,AT1G01060,AT2G02810
169533,AT1G01060,AT3G10340
142758,AT1G01060,AT3G63300
240408,AT1G01060,AT4G03150
169596,AT1G01060,AT5G51040
142443,AT1G01060,AT3G08030
169785,AT1G01060,AT2G45990
7182,AT1G01060,AT1G65060
8253,AT1G01060,AT3G48460
240282,AT1G01060,AT2G32930
141498,AT1G01060,AT4G15560
141246,AT1G01060,AT3G19970
141057,AT1G01060,AT2G42910
140994,AT1G01060,AT3G22230
170667,AT1G01060,AT4G02930
8883,AT1G01060,AT2G23690
140742,AT1G01060,AT1G75750
140427,AT1G01060,AT2G19730
140301,AT1G01060,AT1G33810
239904,AT1G01060,AT2G39980
140175,AT1G01060,AT1G01360
169848,AT1G01060,AT3G06410
171108,AT1G01060,AT1G15690
144333,AT1G01060,AT3G52950
168336,AT1G01060,AT1G64400
166194,AT1G01060,AT5G61270
150066,AT1G01060,AT1G36390
149562,AT1G01060,AT4G29670
149373,AT1G01060,AT4G28750
166383,AT1G01060,AT1G61580
149310,AT1G01060,AT4G16390
241668,AT1G01060,AT2G46540
166572,AT1G01060,AT4G12980
149184,AT1G01060,AT3G44720
166698,AT1G01060,AT2G20360
5229,AT1G01060,AT4G21213
5418,AT1G01060,AT5G62730
144963,AT1G01060,AT3G52590
166887,AT1G01060,AT3G44190
148050,AT1G01060,AT5G54280
167265,AT1G01060,AT1G65930
147294,AT1G01060,AT4G13180
167454,AT1G01060,AT2G15620
147168,AT1G01060,AT1G80600
5922,AT1G01060,AT5G17300
167832,AT1G01060,AT2G43500
241164,AT1G01060,AT5G34850
241038,AT1G01060,AT3G16000
240975,AT1G01060,AT5G17840
145971,AT1G01060,AT5G15320
6615,AT1G01060,AT3G10185
148302,AT1G01060,AT5G58420
178857,AT1G01060,AT1G20850
239526,AT1G01060,AT3G43810
9702,AT1G01060,AT5G08640
132363,AT1G01060,AT1G44350
175581,AT1G01060,AT5G27820
175644,AT1G01060,AT1G47290
12600,AT1G01060,AT2G24100
132048,AT1G01060,AT3G08580
238140,AT1G01060,AT5G62220
130851,AT1G01060,AT4G38620
12978,AT1G01060,AT4G11660
130725,AT1G01060,AT4G39970
130536,AT1G01060,AT5G45670
176463,AT1G01060,AT2G24270
176526,AT1G01060,AT1G76440
132867,AT1G01060,AT1G27090
129906,AT1G01060,AT1G61215
176967,AT1G01060,AT2G26930
129024,AT1G01060,AT5G65890
177219,AT1G01060,AT2G15000
177534,AT1G01060,AT4G16490
128520,AT1G01060,AT4G16680
237573,AT1G01060,AT4G38740
14049,AT1G01060,AT5G13930
177597,AT1G01060,AT1G59840
178479,AT1G01060,AT4G17615
14616,AT1G01060,AT4G37990
178605,AT1G01060,AT1G21500
126945,AT1G01060,AT3G23805
129654,AT1G01060,AT3G01120
138474,AT1G01060,AT4G20830
12033,AT1G01060,AT4G13410
174888,AT1G01060,AT5G55050
172179,AT1G01060,AT1G72770
137718,AT1G01060,AT2G04360
137655,AT1G01060,AT4G04840
172557,AT1G01060,AT4G21445
10017,AT1G01060,AT2G36750
137466,AT1G01060,AT5G46570
137025,AT1G01060,AT5G63320
136836,AT1G01060,AT4G30800
