,GSE81202_13-GSE81202_11.csv,GSE72806_3-GSE72806_1.csv,GSE69510_2-GSE69510_1.csv,PRJEB10930_4_T-PRJEB10930_4_C.csv,GSE81202_18-GSE81202_16.csv,GSE67332_5-GSE67332_4.csv,GSE81202_17-GSE81202_15.csv,GSE80565_7-GSE80565_8.csv,GSE63406_5-GSE63406_3.csv,GSE80565_9-GSE80565_10.csv,GSE69077_2-GSE69077_1.csv,PRJNA324514_2-PRJNA324514_1.csv,GSE69077_3-GSE69077_2.csv,GSE67332_3-GSE67332_2.csv,GSE59699_11-GSE59699_12.csv,GSE81202_10-GSE81202_8.csv,GSE69510_4-GSE69510_3.csv,PRJNA324514_14-PRJNA324514_13.csv,PRJNA324514_6-PRJNA314076_1.csv,GSE63406_6-GSE63406_4.csv,PRJNA324514_12-PRJNA324514_11.csv,PRJNA324514_10-PRJNA324514_9.csv,GSE60865_3-GSE60865_2.csv,GSE63406_3-GSE63406_1.csv,GSE72806_4-GSE72806_1.csv,PRJEB10930_3_T-PRJEB10930_3_C.csv,GSE59699_17-GSE59699_18.csv,GSE80565_11-GSE80565_12.csv,GSE80565_13-GSE80565_14.csv,GSE59699_15-GSE59699_16.csv,PRJNA324514_1-PRJNA314076_1.csv,PRJNA324514_4-PRJNA324514_3.csv,GSE59699_14-GSE59699_13.csv,GSE67332_2-GSE67332_1.csv,GSE80565_5-GSE80565_6.csv,GSE67332_6-GSE67332_5.csv,GSE80565_3-GSE80565_4.csv,PRJNA324514_11-PRJNA314076_1.csv,GSE59699_3-GSE59699_4.csv,GSE81202_14-GSE81202_12.csv,PRJNA324514_15-PRJNA324514_14.csv,GSE60865_2-GSE60865_1.csv,PRJNA324514_3-PRJNA324514_2.csv,GSE59699_7-GSE59699_8.csv
AT1G01060,0.0,0.645,0.135,0.415,0.005,0.34,0.0,0.105,0.0,0.0,0.64,0.0,0.5,0.0,0.11,0.0,0.0,0.0,0.915,0.805,0.145,0.08,0.0,0.0,0.33,0.24,0.655,0.02,0.0,0.71,0.77,0.115,0.695,0.74,0.0,0.0,0.0,0.56,0.0,0.0,0.525,0.0,0.0,0.84
AT1G01250,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G01720,0.7,0.87,0.0,0.0,0.0,0.6,0.0,0.98,0.16,0.97,0.04,0.0,0.0,0.0,0.0,0.005,0.85,0.0,0.71,0.36,0.16,1.0,0.95,0.0,0.805,0.795,0.0,0.99,0.855,0.0,0.0,1.0,0.13,0.23,0.995,0.975,1.0,0.04,0.855,0.0,0.27,0.0,0.0,0.0
AT1G02230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715,0.0,0.26,0.58,0.035,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G02250,0.0,0.04,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.17,0.0,0.43,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G03800,0.0,0.66,0.0,0.0,0.925,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.115,0.0,0.92,0.0,0.0,0.0,0.825,0.0,0.855,0.505,0.0,0.375,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
AT1G03840,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.14,0.0,0.175,0.2,0.0,0.0,0.0,0.0,0.44,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.12,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0
AT1G06180,0.0,0.1,0.0,0.0,0.0,0.015,0.0,0.0,0.52,0.0,0.35,0.0,0.445,0.0,0.185,0.0,0.0,0.0,0.0,0.865,0.0,0.005,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.69,0.0,0.0,0.14,0.0,0.0,0.115,0.0,0.92,0.0,0.0,0.22
AT1G06280,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
AT1G06850,0.0,0.0,0.0,0.3,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
