,TFID,targetID
19351,AT1G08010,AT4G22212
19741,AT1G08010,AT5G40230
5851,AT1G08010,AT3G06590
12721,AT1G08010,AT3G03250
2071,AT1G08010,AT3G41768
19411,AT1G08010,AT5G28040
3901,AT1G08010,AT2G17980
8281,AT1G08010,AT1G78620
17431,AT1G08010,AT3G54400
8551,AT1G08010,AT3G26030
17761,AT1G08010,AT5G62180
1531,AT1G08010,AT5G58940
19021,AT1G08010,AT2G33830
8671,AT1G08010,AT3G24460
4171,AT1G08010,AT1G11260
9091,AT1G08010,AT2G04780
14671,AT1G08010,AT3G03780
9271,AT1G08010,AT1G31330
18781,AT1G08010,AT5G02502
9901,AT1G08010,AT5G47370
9661,AT1G08010,AT1G54060
18631,AT1G08010,AT5G19980
2521,AT1G08010,AT1G02500
4441,AT1G08010,AT1G21310
13051,AT1G08010,AT3G52590
3451,AT1G08010,AT5G28540
7531,AT1G08010,AT5G66280
3271,AT1G08010,AT2G39705
12361,AT1G08010,AT1G54630
7681,AT1G08010,AT2G05632
18073,AT1G19850,AT1G73330
1063,AT1G19850,AT2G05170
15373,AT1G19850,AT5G45210
17863,AT1G19850,AT4G11190
12433,AT1G19850,AT2G26770
7033,AT1G19850,AT2G14960
4123,AT1G19850,AT4G10250
5533,AT1G19850,AT5G64030
11833,AT1G19850,AT1G61240
19093,AT1G19850,AT1G19850
12823,AT1G19850,AT3G21770
1843,AT1G19850,AT5G58000
6073,AT1G19850,AT4G27260
3943,AT1G19850,AT3G16340
10333,AT1G19850,AT5G54590
8263,AT1G19850,AT2G01275
11953,AT1G19850,AT1G67850
18973,AT1G19850,AT1G42470
4873,AT1G19850,AT5G42600
17173,AT1G19850,AT4G04460
18583,AT1G19850,AT5G02960
3343,AT1G19850,AT1G72310
9793,AT1G19850,AT4G20140
4903,AT1G19850,AT5G54585
1303,AT1G19850,AT5G54510
9583,AT1G19850,AT5G55050
13153,AT1G19850,AT2G18150
20653,AT1G19850,AT3G09220
9913,AT1G19850,AT5G47370
18763,AT1G19850,AT2G38090
9973,AT1G19850,AT1G48260
3283,AT1G19850,AT2G39705
18883,AT1G19850,AT5G28060
12913,AT1G19850,AT2G03980
7573,AT1G19850,AT3G44990
18943,AT1G19850,AT2G15860
18103,AT1G19850,AT4G37250
1123,AT1G19850,AT2G42850
11563,AT1G19850,AT4G14746
11773,AT1G19850,AT3G20940
793,AT1G19850,AT5G22570
5503,AT1G19850,AT1G69580
12103,AT1G19850,AT5G22940
2263,AT1G19850,AT1G09950
16483,AT1G19850,AT4G17830
19603,AT1G19850,AT5G24870
20053,AT1G19850,AT1G67070
10603,AT1G19850,AT1G10550
2563,AT1G19850,AT1G22830
7813,AT1G19850,AT5G66600
703,AT1G19850,AT1G01680
19873,AT1G19850,AT2G47810
19903,AT1G19850,AT2G42890
7663,AT1G19850,AT4G17280
4423,AT1G19850,AT5G44920
763,AT1G19850,AT5G56550
10393,AT1G19850,AT1G56220
4573,AT1G19850,AT4G02290
5023,AT1G19850,AT5G56500
8203,AT1G19850,AT5G57010
19993,AT1G19850,AT4G35160
7783,AT1G19850,AT5G16230
7423,AT1G19850,AT1G02860
16014,AT1G51700,AT4G23430
13164,AT1G51700,AT2G18150
16134,AT1G51700,AT2G16005
9924,AT1G51700,AT5G47370
10704,AT1G51700,AT4G21600
10794,AT1G51700,AT2G22620
1464,AT1G51700,AT5G35735
15954,AT1G51700,AT3G14990
16074,AT1G51700,AT4G17460
18294,AT1G51700,AT1G63180
15054,AT1G51700,AT1G49580
16254,AT1G51700,AT5G51680
11574,AT1G51700,AT4G14746
14814,AT1G51700,AT5G43890
9804,AT1G51700,AT4G20140
10074,AT1G51700,AT4G40042
20664,AT1G51700,AT3G09220
18474,AT1G51700,AT1G52300
17244,AT1G51700,AT3G30180
1854,AT1G51700,AT5G58000
11544,AT1G51700,AT3G56480
14064,AT1G51700,AT5G53370
17034,AT1G51700,AT5G41140
10194,AT1G51700,AT1G11580
17394,AT1G51700,AT3G27150
11094,AT1G51700,AT1G12950
5004,AT1G51700,AT4G14130
16824,AT1G51700,AT3G49120
15684,AT1G51700,AT4G15960
10134,AT1G51700,AT3G16400
10434,AT1G51700,AT1G49490
16794,AT1G51700,AT5G26280
14484,AT1G51700,AT1G71110
1494,AT1G51700,AT1G78340
16614,AT1G51700,AT1G27020
3504,AT1G51700,AT3G63300
2244,AT1G51700,AT1G80640
11844,AT1G51700,AT1G61240
16434,AT1G51700,AT2G44480
10464,AT1G51700,AT1G36060
5754,AT1G51700,AT5G34940
18114,AT1G51700,AT4G37250
3354,AT1G51700,AT1G72310
8574,AT1G51700,AT3G26030
9084,AT1G51700,AT5G48000
294,AT1G51700,AT2G28160
12444,AT1G51700,AT2G26770
924,AT1G51700,AT2G32720
19434,AT1G51700,AT5G28040
18984,AT1G51700,AT1G42470
8094,AT1G51700,AT3G16460
12264,AT1G51700,AT3G12020
19104,AT1G51700,AT1G19850
354,AT1G51700,AT2G14890
4284,AT1G51700,AT5G14700
7824,AT1G51700,AT5G66600
1014,AT1G51700,AT4G37080
4404,AT1G51700,AT1G43910
20034,AT1G51700,AT1G18870
19134,AT1G51700,AT1G48750
4344,AT1G51700,AT4G32350
12294,AT1G51700,AT1G66200
1314,AT1G51700,AT5G54510
7434,AT1G51700,AT1G02860
12114,AT1G51700,AT5G22940
4464,AT1G51700,AT1G21310
18654,AT1G51700,AT5G19980
84,AT1G51700,AT1G30230
12084,AT1G51700,AT1G31935
8274,AT1G51700,AT2G01275
18744,AT1G51700,AT5G12900
8244,AT1G51700,AT1G25450
12984,AT1G51700,AT5G48290
144,AT1G51700,AT1G61820
20424,AT1G51700,AT2G26650
20364,AT1G51700,AT4G22214
4194,AT1G51700,AT1G11260
20574,AT1G51700,AT2G13820
19644,AT1G51700,AT1G64400
5989,AT1G69490,AT5G24910
9799,AT1G69490,AT4G20140
13549,AT1G69490,AT2G18980
19279,AT1G69490,AT5G61600
3589,AT1G69490,AT1G14240
14599,AT1G69490,AT2G43880
11419,AT1G69490,AT5G23210
9979,AT1G69490,AT1G48260
15589,AT1G69490,AT1G55240
7759,AT1G69490,AT2G01880
2299,AT1G69490,AT2G37750
1039,AT1G69490,AT1G62480
10819,AT1G69490,AT5G56870
13669,AT1G69490,AT2G19800
12559,AT1G69490,AT2G43610
10639,AT1G69490,AT1G02850
5038,AT1G78700,AT5G56500
14008,AT1G78700,AT3G52790
20038,AT1G78700,AT1G18870
3598,AT1G78700,AT1G14240
11008,AT1G78700,AT5G65683
3448,AT1G78700,AT1G30120
10468,AT1G78700,AT1G36060
5908,AT1G78700,AT2G33340
1318,AT1G78700,AT5G54510
5788,AT1G78700,AT5G02260
6088,AT1G78700,AT4G27260
11758,AT1G78700,AT5G45500
10348,AT1G78700,AT5G54590
8278,AT1G78700,AT2G01275
6298,AT1G78700,AT5G45340
19108,AT1G78700,AT1G19850
18718,AT1G78700,AT5G65920
5008,AT1G78700,AT4G14130
13671,AT2G02070,AT2G19800
7641,AT2G02070,AT3G15460
1461,AT2G02070,AT5G35735
14391,AT2G02070,AT5G46800
11571,AT2G02070,AT4G14746
7671,AT2G02070,AT4G17280
5451,AT2G02070,AT1G30820
1131,AT2G02070,AT2G42850
15771,AT2G02070,AT5G57685
18111,AT2G02070,AT4G37250
10821,AT2G02070,AT5G56870
14061,AT2G02070,AT5G53370
8811,AT2G02070,AT2G43050
2691,AT2G02070,AT3G27884
11841,AT2G02070,AT1G61240
20061,AT2G02070,AT1G67070
6681,AT2G02070,AT1G44970
4911,AT2G02070,AT5G54585
9321,AT2G02070,AT1G79570
18651,AT2G02070,AT5G19980
14811,AT2G02070,AT5G43890
21,AT2G02070,AT4G32570
5271,AT2G02070,AT4G33050
13101,AT2G02070,AT2G34310
11541,AT2G02070,AT3G56480
14571,AT2G02070,AT5G03760
5331,AT2G02070,AT1G51850
11451,AT2G02070,AT2G35020
3231,AT2G02070,AT4G38620
14541,AT2G02070,AT1G01100
11361,AT2G02070,AT1G54730
3111,AT2G02070,AT5G18310
11121,AT2G02070,AT1G76930
5391,AT2G02070,AT3G19370
17781,AT2G02070,AT5G62180
4191,AT2G02070,AT1G11260
14481,AT2G02070,AT1G71110
12021,AT2G02070,AT4G39140
7761,AT2G02070,AT2G01880
19611,AT2G02070,AT5G24870
12171,AT2G02070,AT1G68150
10461,AT2G02070,AT1G36060
2571,AT2G02070,AT1G22830
16491,AT2G02070,AT4G17830
7041,AT2G02070,AT2G14960
6081,AT2G02070,AT4G27260
2241,AT2G02070,AT1G80640
1791,AT2G02070,AT4G12550
5001,AT2G02070,AT4G14130
651,AT2G02070,AT3G45130
11751,AT2G02070,AT5G45500
17391,AT2G02070,AT3G27150
7161,AT2G02070,AT3G55740
12591,AT2G02070,AT1G22500
13641,AT2G02070,AT5G38030
2091,AT2G02070,AT3G41768
13731,AT2G02070,AT1G03920
4311,AT2G02070,AT1G28290
3651,AT2G02070,AT2G29070
16431,AT2G02070,AT2G44480
17031,AT2G02070,AT5G41140
531,AT2G02070,AT3G28345
4401,AT2G02070,AT1G43910
10641,AT2G02070,AT1G02850
10611,AT2G02070,AT1G10550
12831,AT2G02070,AT3G21770
5751,AT2G02070,AT5G34940
6111,AT2G02070,AT1G58270
12561,AT2G02070,AT2G43610
7191,AT2G02070,AT1G21640
4281,AT2G02070,AT5G14700
7821,AT2G02070,AT5G66600
4915,AT2G18350,AT5G54585
3535,AT2G18350,AT1G73340
11755,AT2G18350,AT5G45500
11515,AT2G18350,AT3G50530
14605,AT2G18350,AT2G43880
12805,AT2G18350,AT3G14770
4315,AT2G18350,AT1G28290
3775,AT2G18350,AT1G15380
12835,AT2G18350,AT3G21770
11905,AT2G18350,AT3G45010
4285,AT2G18350,AT5G14700
12115,AT2G18350,AT5G22940
14485,AT2G18350,AT1G71110
4885,AT2G18350,AT5G42600
12505,AT2G18350,AT5G38020
11935,AT2G18350,AT5G02890
4195,AT2G18350,AT1G11260
14305,AT2G18350,AT3G16450
13435,AT2G18350,AT4G01480
13465,AT2G18350,AT1G65481
3475,AT2G18350,AT5G28540
14335,AT2G18350,AT5G11420
12565,AT2G18350,AT2G43610
11845,AT2G18350,AT1G61240
