,TFID,targetID
472,AT3G12250,AT1G02360
452,AT3G12250,AT1G15520
962,AT3G12250,AT3G27880
1297,AT3G12250,AT3G06210
1317,AT3G12250,AT2G27389
422,AT3G12250,AT3G61930
767,AT3G12250,AT1G30110
417,AT3G12250,AT1G72230
957,AT3G12250,AT5G57510
1352,AT3G12250,AT2G39430
482,AT3G12250,AT4G33467
367,AT3G12250,AT5G04960
1402,AT3G12250,AT4G28720
342,AT3G12250,AT4G26880
1412,AT3G12250,AT4G00080
777,AT3G12250,AT1G75600
1437,AT3G12250,AT4G16190
952,AT3G12250,AT3G10020
1447,AT3G12250,AT1G17310
1457,AT3G12250,AT2G28210
787,AT3G12250,AT1G78100
1382,AT3G12250,AT2G39180
1472,AT3G12250,AT1G76560
967,AT3G12250,AT1G27730
737,AT3G12250,AT1G12370
687,AT3G12250,AT3G10720
1052,AT3G12250,AT2G36950
662,AT3G12250,AT3G59220
707,AT3G12250,AT1G04290
1057,AT3G12250,AT4G18170
1062,AT3G12250,AT1G05560
1072,AT3G12250,AT1G05260
1077,AT3G12250,AT2G29590
1082,AT3G12250,AT1G30730
1217,AT3G12250,AT5G13260
617,AT3G12250,AT1G53540
582,AT3G12250,AT1G05650
1007,AT3G12250,AT2G46740
1002,AT3G12250,AT5G16970
727,AT3G12250,AT1G12090
552,AT3G12250,AT5G67140
1157,AT3G12250,AT1G65280
1162,AT3G12250,AT5G40510
522,AT3G12250,AT3G46280
1182,AT3G12250,AT3G05630
1102,AT3G12250,AT5G53380
1477,AT3G12250,AT1G30700
1347,AT3G12250,AT4G22230
112,AT3G12250,AT4G28030
1552,AT3G12250,AT3G18560
1557,AT3G12250,AT3G61160
907,AT3G12250,AT1G54120
1562,AT3G12250,AT1G17180
77,AT3G12250,AT3G56710
1582,AT3G12250,AT2G38940
72,AT3G12250,AT1G15460
142,AT3G12250,AT1G69490
807,AT3G12250,AT5G38710
897,AT3G12250,AT5G02090
37,AT3G12250,AT2G36080
1617,AT3G12250,AT1G59590
882,AT3G12250,AT2G29420
822,AT3G12250,AT4G37390
17,AT3G12250,AT3G13080
852,AT3G12250,AT4G21320
57,AT3G12250,AT2G39210
1547,AT3G12250,AT1G23390
1027,AT3G12250,AT3G50640
232,AT3G12250,AT1G18800
207,AT3G12250,AT5G45840
212,AT3G12250,AT3G24300
1512,AT3G12250,AT3G22910
227,AT3G12250,AT5G33290
237,AT3G12250,AT5G18980
222,AT3G12250,AT3G24830
1502,AT3G12250,AT4G21960
334,AT3G16280,AT5G43520
1579,AT3G16280,AT1G80820
544,AT3G16280,AT1G15580
1179,AT3G16280,AT2G35510
1569,AT3G16280,AT5G20230
674,AT3G16280,AT2G40180
989,AT3G16280,AT5G48900
509,AT3G16280,AT4G18340
339,AT3G16280,AT1G54920
569,AT3G16280,AT4G03460
1594,AT3G16280,AT4G01950
1109,AT3G16280,AT1G24340
969,AT3G16280,AT1G27730
589,AT3G16280,AT5G38690
1439,AT3G16280,AT4G16190
714,AT3G16280,AT1G33600
1094,AT3G16280,AT3G15500
1649,AT3G16280,AT3G55420
619,AT3G16280,AT1G53540
664,AT3G16280,AT3G59220
624,AT3G16280,AT2G44370
1054,AT3G16280,AT2G36950
789,AT3G16280,AT1G78100
644,AT3G16280,AT4G38260
809,AT3G16280,AT5G38710
